"Date","Open","High","Low","Close"
"21 Jul 2020","2379.89","2381.11","2376.70","2376.70"
"20 Jul 2020","2381.32","2381.41","2378.29","2379.46"
"17 Jul 2020","2379.59","2380.51","2379.22","2380.10"
"16 Jul 2020","2377.83","2379.16","2377.09","2379.17"
"15 Jul 2020","2373.72","2377.40","2373.45","2377.41"
"14 Jul 2020","2376.35","2376.61","2371.72","2373.29"
"13 Jul 2020","2377.85","2378.73","2375.25","2375.93"
"10 Jul 2020","2370.96","2377.72","2370.69","2376.62"
"09 Jul 2020","2370.30","2370.68","2366.61","2370.53"
"08 Jul 2020","2366.27","2371.20","2365.70","2369.88"
"07 Jul 2020","2359.35","2366.04","2358.43","2365.84"
"06 Jul 2020","2357.77","2358.99","2357.53","2358.92"
"03 Jul 2020","2357.50","2357.77","2355.88","2356.53"
"02 Jul 2020","2357.39","2359.02","2356.11","2357.08"
"01 Jul 2020","2352.82","2357.72","2352.68","2356.96"
"30 Jun 2020","2347.12","2352.64","2347.12","2352.40"
"29 Jun 2020","2345.92","2350.00","2345.92","2346.69"
"26 Jun 2020","2346.69","2349.12","2343.77","2344.68"
"25 Jun 2020","2343.67","2346.48","2343.47","2346.27"
"24 Jun 2020","2345.28","2346.33","2342.83","2343.24"
"23 Jun 2020","2347.76","2347.76","2344.85","2344.85"
"22 Jun 2020","2348.35","2349.50","2346.48","2347.34"
"19 Jun 2020","2350.58","2350.63","2347.71","2347.11"
"18 Jun 2020","2343.70","2350.21","2343.46","2350.16"
"17 Jun 2020","2339.97","2343.27","2339.86","2343.27"
"16 Jun 2020","2348.11","2348.11","2338.33","2339.54"
"15 Jun 2020","2349.20","2350.76","2346.63","2347.69"
"12 Jun 2020","2350.43","2350.43","2346.82","2347.97"
"11 Jun 2020","2351.60","2353.86","2349.55","2350.01"
"10 Jun 2020","2351.10","2353.35","2350.35","2351.18"
"09 Jun 2020","2348.35","2351.94","2348.35","2350.68"
"08 Jun 2020","2349.45","2349.93","2347.21","2347.93"
"05 Jun 2020","2348.90","2349.65","2345.06","2348.22"
"04 Jun 2020","2349.39","2351.18","2346.43","2348.48"
"03 Jun 2020","2350.88","2351.47","2347.35","2348.98"
"02 Jun 2020","2343.45","2350.45","2341.04","2350.46"
"01 Jun 2020","2351.56","2351.56","2343.00","2343.03"
"29 May 2020","2354.28","2358.32","2348.46","2350.73"
"28 May 2020","2352.75","2354.22","2351.68","2353.86"
"27 May 2020","2353.04","2355.87","2351.55","2352.33"
"26 May 2020","2350.60","2354.17","2347.81","2352.62"
"22 May 2020","2336.18","2365.25","2336.18","2348.98"
"21 May 2020","2330.88","2336.55","2329.49","2335.77"
"20 May 2020","2331.72","2334.95","2328.79","2330.46"
