"Date","Open","High","Low","Close"
"21 Jul 2020","2208.35","2209.19","2204.80","2204.87"
"20 Jul 2020","2208.49","2209.63","2206.08","2207.97"
"17 Jul 2020","2207.31","2208.53","2206.32","2207.39"
"16 Jul 2020","2205.06","2207.60","2204.81","2206.93"
"15 Jul 2020","2202.33","2205.03","2201.97","2204.68"
"14 Jul 2020","2206.44","2206.44","2200.22","2201.95"
"13 Jul 2020","2208.48","2208.51","2206.05","2206.05"
"10 Jul 2020","2203.28","2208.88","2203.28","2207.38"
"09 Jul 2020","2201.46","2203.00","2199.19","2202.90"
"08 Jul 2020","2198.30","2203.28","2198.13","2201.09"
"07 Jul 2020","2190.91","2198.01","2189.99","2197.92"
"06 Jul 2020","2189.58","2191.07","2189.20","2190.53"
"03 Jul 2020","2189.42","2189.53","2186.87","2188.47"
"02 Jul 2020","2189.42","2190.78","2188.35","2189.04"
"01 Jul 2020","2184.33","2190.65","2184.33","2189.04"
"30 Jun 2020","2180.41","2185.63","2180.41","2183.95"
"29 Jun 2020","2179.09","2182.86","2179.09","2180.03"
"26 Jun 2020","2179.37","2181.99","2177.42","2177.98"
"25 Jun 2020","2175.61","2179.24","2175.61","2178.99"
"24 Jun 2020","2176.49","2179.00","2174.76","2175.23"
"23 Jun 2020","2179.52","2179.59","2176.10","2176.11"
"22 Jun 2020","2180.43","2182.09","2178.66","2179.14"
"19 Jun 2020","2181.19","2181.81","2179.12","2179.32"
"18 Jun 2020","2175.66","2181.06","2174.94","2180.81"
"17 Jun 2020","2172.39","2175.28","2171.81","2175.28"
"16 Jun 2020","2179.31","2179.67","2170.73","2172.01"
"15 Jun 2020","2178.35","2181.28","2178.13","2178.93"
"12 Jun 2020","2178.49","2179.02","2175.50","2177.24"
"11 Jun 2020","2179.49","2182.15","2178.11","2178.11"
"10 Jun 2020","2178.90","2181.01","2178.49","2179.11"
"09 Jun 2020","2175.03","2178.76","2175.03","2178.52"
"08 Jun 2020","2174.36","2175.65","2173.13","2174.66"
"05 Jun 2020","2174.72","2174.72","2169.66","2173.26"
"04 Jun 2020","2172.82","2174.63","2171.35","2174.34"
"03 Jun 2020","2176.14","2176.43","2171.97","2172.44"
"02 Jun 2020","2169.30","2175.81","2166.08","2175.76"
