"Date","Open","High","Low","Close"
"21 Jul 2020","-","-","-","3113.97"
"20 Jul 2020","-","-","-","3114.74"
"17 Jul 2020","-","-","-","3081.03"
"16 Jul 2020","-","-","-","3059.75"
"15 Jul 2020","-","-","-","3004.73"
"14 Jul 2020","-","-","-","2967.60"
"13 Jul 2020","-","-","-","3001.07"
"10 Jul 2020","-","-","-","2979.13"
"09 Jul 2020","-","-","-","2980.35"
"08 Jul 2020","-","-","-","2971.78"
"07 Jul 2020","-","-","-","2998.36"
"06 Jul 2020","-","-","-","2984.45"
"03 Jul 2020","-","-","-","2956.03"
"02 Jul 2020","-","-","-","2930.57"
"01 Jul 2020","-","-","-","2891.07"
"30 Jun 2020","-","-","-","2897.27"
"29 Jun 2020","-","-","-","2897.99"
"26 Jun 2020","-","-","-","2919.52"
"25 Jun 2020","-","-","-","2871.90"
"24 Jun 2020","-","-","-","2883.17"
"23 Jun 2020","-","-","-","2900.87"
"22 Jun 2020","-","-","-","2855.00"
"19 Jun 2020","-","-","-","2836.12"
"18 Jun 2020","-","-","-","2824.53"
"17 Jun 2020","-","-","-","2812.02"
"16 Jun 2020","-","-","-","2810.01"
"15 Jun 2020","-","-","-","2797.41"
"12 Jun 2020","-","-","-","2816.39"
"11 Jun 2020","-","-","-","2821.38"
"10 Jun 2020","-","-","-","2860.95"
"09 Jun 2020","-","-","-","2853.71"
"08 Jun 2020","-","-","-","2868.33"
"05 Jun 2020","-","-","-","2853.74"
"04 Jun 2020","-","-","-","2843.01"
"03 Jun 2020","-","-","-","2831.01"
"02 Jun 2020","-","-","-","2817.02"
"01 Jun 2020","-","-","-","2792.33"
"29 May 2020","-","-","-","2745.93"
"28 May 2020","-","-","-","2718.54"
"27 May 2020","-","-","-","2687.26"
"26 May 2020","-","-","-","2657.36"
"22 May 2020","-","-","-","2662.54"
"21 May 2020","-","-","-","2643.90"
"20 May 2020","-","-","-","2621.71"
"19 May 2020","-","-","-","2581.62"
"18 May 2020","-","-","-","2575.95"
"15 May 2020","-","-","-","2608.24"
"14 May 2020","-","-","-","2612.71"
"13 May 2020","-","-","-","2652.95"
"12 May 2020","-","-","-","2631.55"
"11 May 2020","-","-","-","2639.94"
"08 May 2020","-","-","-","2622.41"
"07 May 2020","-","-","-","2598.98"
"06 May 2020","-","-","-","2623.57"
"05 May 2020","-","-","-","2627.12"
"04 May 2020","-","-","-","2653.00"
"30 Apr 2020","-","-","-","2769.35"
"29 Apr 2020","-","-","-","2691.83"
"28 Apr 2020","-","-","-","2671.09"
"27 Apr 2020","-","-","-","2679.93"
"24 Apr 2020","-","-","-","2637.93"
"23 Apr 2020","-","-","-","2672.40"
"22 Apr 2020","-","-","-","2639.16"
"21 Apr 2020","-","-","-","2597.93"
"20 Apr 2020","-","-","-","2646.47"
"17 Apr 2020","-","-","-","2640.43"
"16 Apr 2020","-","-","-","2618.43"
"15 Apr 2020","-","-","-","2611.76"
"13 Apr 2020","-","-","-","2574.96"
"09 Apr 2020","-","-","-","2584.91"
"08 Apr 2020","-","-","-","2525.78"
"07 Apr 2020","-","-","-","2518.48"
"03 Apr 2020","-","-","-","2336.85"
"01 Apr 2020","-","-","-","2374.56"
"31 Mar 2020","-","-","-","2461.79"
"30 Mar 2020","-","-","-","2368.59"
"27 Mar 2020","-","-","-","2396.57"
"26 Mar 2020","-","-","-","2399.53"
"25 Mar 2020","-","-","-","2316.20"
"24 Mar 2020","-","-","-","2244.34"
"23 Mar 2020","-","-","-","2169.33"
"20 Mar 2020","-","-","-","2422.19"
"19 Mar 2020","-","-","-","2273.07"
"18 Mar 2020","-","-","-","2348.34"
"17 Mar 2020","-","-","-","2448.67"
"16 Mar 2020","-","-","-","2476.19"
"13 Mar 2020","-","-","-","2630.95"
"12 Mar 2020","-","-","-","2594.73"
"11 Mar 2020","-","-","-","2804.42"
"09 Mar 2020","-","-","-","2831.38"
"06 Mar 2020","-","-","-","2947.08"
"05 Mar 2020","-","-","-","2983.05"
"04 Mar 2020","-","-","-","2966.05"
"03 Mar 2020","-","-","-","2959.39"
"02 Mar 2020","-","-","-","2907.81"
"28 Feb 2020","-","-","-","2919.21"
"27 Feb 2020","-","-","-","3035.13"
"26 Feb 2020","-","-","-","3047.78"
"25 Feb 2020","-","-","-","3079.58"
"24 Feb 2020","-","-","-","3082.29"
"20 Feb 2020","-","-","-","3135.19"
"19 Feb 2020","-","-","-","3150.13"
"18 Feb 2020","-","-","-","3115.71"
"17 Feb 2020","-","-","-","3121.22"
"14 Feb 2020","-","-","-","3135.19"
"13 Feb 2020","-","-","-","3151.02"
"12 Feb 2020","-","-","-","3138.56"
"11 Feb 2020","-","-","-","3114.77"
"10 Feb 2020","-","-","-","3116.69"
"07 Feb 2020","-","-","-","3127.16"
"06 Feb 2020","-","-","-","3111.00"
"05 Feb 2020","-","-","-","3119.23"
"04 Feb 2020","-","-","-","3101.99"
"03 Feb 2020","-","-","-","3054.01"
"01 Feb 2020","-","-","-","3034.29"
"31 Jan 2020","-","-","-","3053.89"
"30 Jan 2020","-","-","-","3087.63"
