"Date","Open","High","Low","Close"
"21 Jul 2020","22639.85","22861.90","22597.95","22782.00"
"20 Jul 2020","22307.30","22520.45","22187.80","22321.85"
"17 Jul 2020","21608.05","22065.00","21550.80","21966.80"
"16 Jul 2020","21453.25","21671.25","21027.85","21597.15"
"15 Jul 2020","21634.25","21935.50","21230.55","21340.75"
"14 Jul 2020","21877.60","21909.70","21222.45","21392.20"
"13 Jul 2020","22613.25","22657.40","21981.65","22089.25"
"10 Jul 2020","22720.95","22835.20","22320.05","22398.45"
"09 Jul 2020","22753.15","22998.30","22673.40","22907.20"
"08 Jul 2020","22700.90","23080.60","22499.50","22584.65"
"07 Jul 2020","22254.30","22674.50","22040.35","22628.00"
"06 Jul 2020","22270.95","22399.25","22171.05","22198.95"
"03 Jul 2020","22101.75","22130.30","21768.00","21852.40"
"02 Jul 2020","22133.80","22344.85","21890.50","21953.20"
"01 Jul 2020","21354.10","22061.60","21281.85","21977.60"
"30 Jun 2020","21524.30","21650.50","21212.00","21370.15"
"29 Jun 2020","21291.55","21440.05","21026.45","21359.00"
"26 Jun 2020","21735.05","21784.65","21320.10","21592.05"
"25 Jun 2020","21218.05","21703.50","20926.45","21506.15"
"24 Jun 2020","22479.35","22479.55","21336.35","21426.80"
"23 Jun 2020","21859.25","22322.30","21647.80","22264.90"
"22 Jun 2020","21491.55","22078.25","21425.55","21708.35"
"19 Jun 2020","20970.10","21467.65","20878.25","21338.10"
"18 Jun 2020","20137.60","21028.35","20030.35","20956.30"
"17 Jun 2020","20137.45","20627.90","19978.15","20201.75"
"16 Jun 2020","20500.65","20638.85","19507.05","20296.70"
"15 Jun 2020","20457.15","20470.85","19740.20","19912.90"
"12 Jun 2020","19529.30","20747.70","19526.10","20654.55"
"11 Jun 2020","21084.70","21244.45","20458.30","20525.15"
"10 Jun 2020","20760.95","21251.45","20671.55","21100.10"
"09 Jun 2020","21295.50","21568.85","20629.70","20724.90"
"08 Jun 2020","21636.10","21807.40","20911.25","21187.35"
